CIF,Compound,A,B,Sto_A,Sto_B,A_atomicweight,A_atomicnumber,A_period,A_group,A_mendeleev,A_valence,A_gilman,A_zeff,A_ie,A_paulingrad,A_paulingen,A_martynoven,A_mp,A_density,A_specificheat,A_cohesive,A_bulkmod,A_abundance,A_abundancesolar,A_hhiprod,A_hhires,A_cost,B_atomicweight,B_atomicnumber,B_period,B_group,B_mendeleev,B_valence,B_gilman,B_zeff,B_ie,B_paulingrad,B_paulingen,B_martynoven,B_mp,B_density,B_specificheat,B_cohesive,B_bulkmod,B_abundance,B_abundancesolar,B_hhiprod,B_hhires,B_cost,molar_mass,AB_diffmendeleev,AB_sumzeff,max_zeff,min_zeff,avg_zeff,AB_diffpaulingrad,AB_diffmartynoven,max_martynoven,min_martynoven,avg_martynoven,AB_diffdensity,max_density,min_density,avg_density,AB_diffcohesive,max_cohesive,min_cohesive,avg_cohesive
250652,Pd3Sn,Pd,Sn,3.0,1.0,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,118.71,50,5,14,80,14,4,3.672,7.344,1.62,1.96,1.88,505.15,7.31,0.227,3.14,58.2,0.0,0.0,2591.0,1639.0,8.0,437.97,18,6.773,3.672,3.101,3.244,0.247,0.2,2.08,1.88,2.03,4.69,12.0,7.31,10.828,0.75,3.89,3.14,3.702
250376,NdIn3,Nd,In,1.0,3.0,144.242,60,6,3,19,6,3,3.822,5.525,1.818,1.14,1.2,1289.15,7.0,0.19,3.4,31.8,0.0,0.0,9476.0,3129.0,110.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,488.696,56,7.081,3.822,3.259,3.4,0.158,0.43,1.63,1.2,1.522,0.31,7.31,7.0,7.232,0.88,3.4,2.52,2.74
250651,GdPd3,Gd,Pd,1.0,3.0,157.25,64,6,3,27,10,3,4.034,6.15,1.795,1.2,1.1,1586.15,7.9,0.23,4.14,37.9,0.0,0.0,9476.0,3129.0,191.0,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,476.51,35,7.135,4.034,3.101,3.334,0.422,0.98,2.08,1.1,1.835,4.1,12.0,7.9,10.975,0.25,4.14,3.89,3.952
250468,SmIn3,Sm,In,1.0,3.0,150.36,62,6,3,23,8,3,3.847,5.644,1.85,1.17,1.2,1347.15,7.52,0.2,2.14,37.8,0.0,0.0,9476.0,3129.0,130.0,114.818,49,5,13,75,13,3,3.259,5.786,1.66,1.78,1.63,429.75,7.31,0.23,2.52,41.1,0.0,0.0,3333.0,2000.0,120.0,494.814,52,7.106,3.847,3.259,3.406,0.19,0.43,1.63,1.2,1.522,0.21,7.52,7.31,7.362,0.38,2.52,2.14,2.425
250334,GdPd3,Gd,Pd,1.0,3.0,157.25,64,6,3,27,10,3,4.034,6.15,1.795,1.2,1.1,1586.15,7.9,0.23,4.14,37.9,0.0,0.0,9476.0,3129.0,191.0,106.42,46,5,10,62,10,3,3.101,8.337,1.373,2.2,2.08,1827.15,12.0,0.24,3.89,187.0,0.0,0.0,3239.0,8000.0,15.0,476.51,35,7.135,4.034,3.101,3.334,0.422,0.98,2.08,1.1,1.835,4.1,12.0,7.9,10.975,0.25,4.14,3.89,3.952
250920,HoFe3,Ho,Fe,1.0,3.0,164.93,67,6,3,33,13,3,3.994,6.022,1.761,1.23,1.2,1747.15,8.8,0.16,3.14,40.2,0.0,0.0,9476.0,3129.0,740.0,55.847,26,4,8,55,8,5,3.048,7.902,1.26,1.83,1.67,1808.15,7.86,0.44,4.28,166.0,0.057,0.0,2424.0,1373.0,6.7,332.471,22,7.042,3.994,3.048,3.284,0.501,0.47,1.67,1.2,1.552,0.94,8.8,7.86,8.095,1.14,4.28,3.14,3.995
250751,Au3Gd,Gd,Au,1.0,3.0,157.25,64,6,3,27,10,3,4.034,6.15,1.795,1.2,1.1,1586.15,7.9,0.23,4.14,37.9,0.0,0.0,9476.0,3129.0,191.0,196.967,79,6,11,66,25,2,4.938,9.226,1.439,2.54,1.19,1337.15,19.3,0.128,3.81,171.0,0.0,0.0,1119.0,1040.0,4400.0,748.15,39,8.972,4.938,4.034,4.712,0.356,0.09,1.19,1.1,1.168,11.4,19.3,7.9,16.45,0.33,4.14,3.81,3.892
250411,Nd3Al,Nd,Al,3.0,1.0,144.242,60,6,3,19,6,3,3.822,5.525,1.818,1.14,1.2,1289.15,7.0,0.19,3.4,31.8,0.0,0.0,9476.0,3129.0,110.0,26.982,13,3,13,73,3,3,1.989,5.986,1.429,1.61,1.64,933.15,2.7,0.9,3.39,75.2,0.084,0.0,1569.0,1000.0,1.8,459.708,54,5.811,3.822,1.989,3.364,0.389,0.44,1.64,1.2,1.31,4.3,7.0,2.7,5.925,0.01,3.4,3.39,3.398
250465,YNi3,Y,Ni,1.0,3.0,88.906,39,5,3,12,3,1,3.379,6.217,1.797,1.22,1.41,1796.15,4.47,0.3,4.37,41.2,0.0,0.0,9834.0,2646.0,220.0,58.693,28,4,10,61,10,3,2.996,7.64,1.244,1.91,1.76,1726.15,8.9,0.44,4.44,177.0,0.0,0.0,988.0,1479.0,7.7,264.986,49,6.375,3.379,2.996,3.092,0.553,0.35,1.76,1.41,1.672,4.43,8.9,4.47,7.792,0.07,4.44,4.37,4.422
250508,ErAl3,Er,Al,1.0,3.0,167.259,68,6,3,35,14,3,4.018,6.108,1.748,1.24,1.2,1802.15,9.07,0.17,3.29,44.4,0.0,0.0,9476.0,3129.0,270.0,26.982,13,3,13,73,3,3,1.989,5.986,1.429,1.61,1.64,933.15,2.7,0.9,3.39,75.2,0.084,0.0,1569.0,1000.0,1.8,248.204,38,6.007,4.018,1.989,2.496,0.319,0.44,1.64,1.2,1.53,6.37,9.07,2.7,4.292,0.1,3.39,3.29,3.365
